,Cluster
A,C4
AAL,C2
AAPL,C3
ABBV,C1
ABT,C4
ACGL,C1
ACN,C4
ADBE,C4
ADI,C2
ADM,C2
ADP,C4
ADSK,C4
AEE,C2
AEP,C2
AES,C2
AFL,C4
AIG,C1
AIZ,C1
AJG,C1
AKAM,C4
ALB,C2
ALL,C1
ALLE,C2
AMAT,C4
AME,C2
AMGN,C4
AMP,C1
AMT,C4
AMZN,C3
ANET,C4
ANSS,C4
AOS,C2
APA,C2
APD,C2
APH,C2
APTV,C4
ARE,C4
ATO,C2
AVB,C4
AVGO,C4
AVY,C2
AWK,C2
AXP,C1
AZO,C4
BA,C2
BAC,C1
BALL,C2
BAX,C4
BBWI,C2
BBY,C4
BDX,C4
BEN,C4
BG,C2
BIIB,C4
BIO,C4
BK,C1
BKNG,C4
BLK,C1
BMY,C4
BR,C4
BRO,C1
BSX,C4
BWA,C4
BX,C1
BXP,C4
C,C1
CAG,C2
CAH,C4
CAT,C2
CB,C1
CBOE,C1
CBRE,C4
CCI,C4
CCL,C4
CDNS,C4
CDW,C4
CE,C2
CF,C2
CFG,C1
CHD,C2
CHRW,C4
CHTR,C4
CI,C4
CINF,C1
CL,C2
CLX,C2
CMCSA,C4
CME,C4
CMG,C4
CMI,C2
CMS,C2
CNC,C4
CNP,C2
COF,C1
COO,C4
COP,C2
COR,C4
COST,C4
CPB,C2
CPRT,C4
CPT,C4
CRM,C4
CSCO,C4
CSGP,C4
CSX,C2
CTAS,C4
CTRA,C2
CTSH,C4
CVS,C4
CVX,C2
D,C2
DAL,C4
DD,C2
DE,C4
DFS,C1
DG,C4
DGX,C4
DHI,C4
DHR,C4
DIS,C4
DLR,C4
DLTR,C4
DOV,C4
DPZ,C2
DRI,C2
DTE,C2
DUK,C2
DVA,C4
DVN,C2
DXCM,C4
EA,C4
EBAY,C4
ECL,C4
ED,C2
EFX,C4
EG,C1
EIX,C2
EL,C4
ELV,C4
EMN,C2
EMR,C2
EOG,C2
EQIX,C4
EQR,C4
EQT,C2
ES,C4
ESS,C4
ETN,C4
ETR,C2
EW,C4
EXC,C2
EXPD,C4
EXPE,C1
EXR,C4
F,C2
FAST,C2
FCX,C2
FDS,C4
FDX,C4
FE,C2
FFIV,C4
FI,C4
FIS,C4
FITB,C4
FMC,C2
FRT,C4
FTNT,C4
FTV,C2
GD,C2
GE,C4
GEN,C4
GILD,C4
GIS,C2
GL,C1
GLW,C2
GM,C2
GOOGL,C3
GPC,C4
GPN,C4
GRMN,C4
GS,C1
GWW,C4
HAL,C2
HAS,C4
HBAN,C4
HCA,C4
HD,C4
HES,C2
HIG,C4
HLT,C4
HOLX,C4
HON,C2
HPE,C4
HPQ,C4
HRL,C2
HSIC,C4
HST,C4
HSY,C2
HUBB,C4
HUM,C4
IBM,C4
ICE,C4
IDXX,C4
IEX,C2
IFF,C2
INCY,C4
INTC,C4
INTU,C4
IP,C2
IPG,C4
IQV,C4
IRM,C4
ISRG,C4
IT,C4
ITW,C2
IVZ,C1
J,C2
JBHT,C4
JCI,C4
JKHY,C4
JNJ,C4
JNPR,C4
JPM,C1
K,C2
KEY,C1
KEYS,C4
KHC,C2
KIM,C4
KLAC,C4
KMB,C2
KMI,C2
KMX,C4
KO,C2
KR,C2
L,C1
LDOS,C4
LEN,C4
LH,C4
LKQ,C4
LLY,C4
LMT,C2
LNT,C2
LOW,C4
LRCX,C4
LULU,C4
LUV,C2
LVS,C4
LYB,C2
MA,C4
MAA,C4
MAR,C2
MAS,C2
MCD,C2
MCHP,C2
MCK,C4
MCO,C4
MDLZ,C2
MDT,C4
MET,C4
META,C3
MGM,C1
MHK,C4
MKC,C2
MLM,C2
MMC,C1
MMM,C2
