Symbol,Full Name,GICS Sector,governanceScore,Stock_return,marketCap,environmentScore
A,Agilent Technologies,Health Care,-0.2775489902352121,-0.631428742729171,-0.22377983850662223,-0.916056441411941
AAL,American Airlines Group,Industrials,-0.8963673536530472,-0.8427746249269431,-0.3279252744570412,0.8161528521728492
AAPL,Apple Inc.,Information Technology,1.232552538403833,0.9293166082064135,10.237991113484869,-1.045677545013524
ABBV,AbbVie,Health Care,1.6897392397349202,-0.17585620953355272,0.746294418974888,-0.6685979708998281
ABT,Abbott Laboratories,Health Care,0.7522755996317823,-0.4872848888608331,0.3088354493997232,-0.6902014881667586
ACGL,Arch Capital Group,Financials,1.934495756609139,0.8931137779648883,-0.21380835986716468,-0.8473179773807986
ACN,Accenture,Information Technology,-1.057999015739795,-0.07580967811793247,0.32676923561032484,-0.974975124867206
ADBE,Adobe Inc.,Information Technology,-0.7162635016135277,0.7052877064459497,0.3913983787484807,-0.7550120399675501
ADI,Analog Devices,Information Technology,0.12883918872575453,0.24462832877013488,0.00796389791144982,0.6845677924560908
ADM,Archer Daniels Midland,Consumer Staples,-0.7809161664482271,-1.1151190951513996,-0.25861669090492323,2.132003449340434
ADP,Automatic Data Processing,Industrials,-0.5592498870149726,-0.2611579159766453,0.014573475923133936,-0.5861118140624572
ADSK,Autodesk,Information Technology,-0.8363327363065408,0.15581078123823996,-0.1661230769323734,-0.41328367592701315
AEE,Ameren,Utilities,-0.6700830267315999,-0.6671844038099812,-0.2782260584105756,1.3876640816889194
AEP,American Electric Power,Utilities,-0.6100484093850935,-0.44579539804309526,-0.17207343681026685,1.350348915500585
AES,AES Corporation,Utilities,-0.6654649792434072,-1.2411272286535997,-0.30754755989093363,1.468186282411115
AFL,Aflac,Financials,1.0155043064587719,0.41547564338267096,-0.15327244878278118,-1.077100842856332
AIG,American International Group,Financials,2.84425111178312,-0.14845507631561228,-0.1992250388005903,-0.8119667673076395
AIZ,Assurant,Financials,2.2900854131999844,0.41619669939616893,-0.31892114529800597,-0.8158946795379906
AJG,Arthur J. Gallagher & Co.,Financials,1.5927602424828717,0.4520799025392507,-0.14063534440679681,-1.1183439212750175
AKAM,Akamai Technologies,Information Technology,0.10574895128479023,-0.19435863370818712,-0.3031564262479257,-0.5468326917589471
ALB,Albemarle Corporation,Materials,-0.17133389800677756,-1.5763029093818766,-0.3175756731255264,1.8865089349434965
ALL,Allstate,Financials,1.9298777091209465,0.13258878044916245,-0.18984129665199,-0.9337320464485205
ALLE,Allegion,Industrials,-0.7670620239836486,-0.03339266534180972,-0.3113598659297312,1.0046926392296973
AMAT,Applied Materials,Information Technology,-0.6562288842670214,1.299430432797583,0.14800585851975454,-0.25420323059779776
AME,Ametek,Industrials,0.013388001520934565,-0.16109112715242704,-0.22609880722551357,0.5628025133152099
AMGN,Amgen,Health Care,0.4844288453165999,-0.056973311666785556,0.22301915782358164,-0.9926507299037853
AMP,Ameriprise Financial,Financials,1.6805031447585348,0.24660456115919188,-0.2088340428718222,-0.727516654355093
AMT,American Tower,Real Estate,-0.7116454541253351,-0.4693973578696386,0.00913473879848231,-0.5664722529107021
AMZN,Amazon,Consumer Discretionary,1.1632818260809417,1.3716556831142277,5.950022325210599,0.0423541427937026
ANET,Arista Networks,Information Technology,0.31817913574165896,2.868982383613728,0.012811358677433254,-1.0574612817045768
ANSS,Ansys,Information Technology,-0.7532078815190701,0.06920718289964778,-0.2624239963869618,-0.44667092988499674
AOS,A. O. Smith,Industrials,-0.12977147061304245,0.2007350997740136,-0.3132102693209474,0.2682090960388851
APA,APA Corporation,Energy,0.5814078425686486,-1.1633960815068893,-0.32148465111193075,3.1807560148441505
APD,Air Products,Materials,-1.5475120494882317,-0.707768140640544,-0.14355643279690739,0.3212359111486235
APH,Amphenol,Information Technology,0.41515813299370774,0.8133519501858676,-0.10391050548542799,0.3015963499968686
APTV,Aptiv,Consumer Discretionary,-0.6654649792434072,-0.9565600662557819,-0.2984853568317749,-0.8512458896111494
ARE,Alexandria Real Estate Equities,Real Estate,-0.17595194549497026,-0.8496712007069477,-0.2814062085392004,-0.3681126852779767
ATO,Atmos Energy,Utilities,-0.15747975554219906,-0.23490594310857127,-0.28259341966993856,1.7765273924936684
AVB,AvalonBay Communities,Real Estate,-0.9009854011412398,0.15951311318302155,-0.24509733698401828,-0.5546885162196492
AVGO,Broadcom,Information Technology,-0.028174425872800973,2.9028841857410557,2.0864245756249695,0.30552426222721946
AVY,Avery Dennison,Materials,-1.381262339913291,-0.17238932529960108,-0.29431189545058084,1.106818357218823
AWK,American Water Works,Utilities,-0.7855342139364199,-0.6737126892130758,-0.2576480567419915,0.6393968018070542
AXP,American Express,Financials,1.3849481055141954,0.7998166228761031,0.25467410331871226,-1.1261997457357193
AZO,AutoZone,Consumer Discretionary,-1.3258457700549773,0.001331421684416646,-0.1812994640305613,-1.1144160090446664
BA,Boeing,Industrials,0.7338034096790107,-0.7439856938444607,-0.041877125042132195,0.6001176795035443
BAC,Bank of America,Financials,2.206960558412514,-0.1632400334950089,0.6344685999347316,-0.7962551183862354
BALL,Ball Corporation,Materials,-1.3674081974487124,-0.14232990421650535,-0.28593401529404683,0.3565871212217824
BAX,Baxter International,Health Care,0.20272794853683898,-1.0031375174415071,-0.28550308573566285,-0.5802199457169306
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,-0.3791460349754536,-1.0584593589115483,-0.33096477076746017,1.2541150658569855
BBY,Best Buy,Consumer Discretionary,-1.0626170632279877,-0.10541418482930547,-0.2828651999297884,-0.6646700586694771
BDX,Becton Dickinson,Health Care,0.1981099010486463,-0.6426173539634875,-0.13415878120490124,-0.5389768672982451
BEN,Franklin Templeton,Financials,0.27661670834792385,-0.997853232206336,-0.3172987508457988,-0.916056441411941
BG,Bunge Global,Consumer Staples,-0.6608469317552145,-0.4391010584462387,-0.307034456709704,1.6901133234259464
BIIB,Biogen,Health Care,0.30894304076527357,-0.9894281536966865,-0.25809430379528975,-1.053533369474226
BIO,Bio-Rad Laboratories,Health Care,0.13807528370213995,-0.9050889032559587,-0.3217284874710499,-0.8983808363753615
BK,BNY Mellon,Financials,1.4957812452308226,0.29405766913355996,-0.18361110298599279,-0.9140924852967656
BKNG,Booking Holdings,Consumer Discretionary,0.6599146498679266,1.0939503819557796,0.08389795762692151,-0.9435518270243979
BLK,BlackRock,Financials,1.518871482671787,-0.07358362342866838,0.07896546107731585,-0.9592634759458019
BMY,Bristol Myers Squibb,Health Care,0.17040161611948967,-1.0956788848994552,-0.02913891730409747,-0.8787412752236065
BR,Broadridge Financial Solutions,Industrials,-0.8132424988655765,0.486767916574759,-0.27213656462054386,-0.31312191405306267
BRO,Brown & Brown,Financials,1.7913362844751621,0.9733912221184466,-0.25691244194434765,-1.1104880968143154
BSX,Boston Scientific,Health Care,1.0108862589705792,0.8345848300486444,0.043606076816422576,-0.6725258831301791
BWA,BorgWarner,Consumer Discretionary,-0.4576528422747312,-0.6162295033538103,-0.3274169662175722,-0.6116432435597386
BX,Blackstone Inc.,Financials,2.1192176561368505,0.9985825471703524,0.25500671929934293,-0.6411025852873711
BXP,"BXP, Inc.",Real Estate,-0.5777220769677438,-0.317754177618431,-0.30512835632774477,-0.6371746730570201
C,Citigroup,Financials,3.227549053303122,0.10723085131531068,0.011911600604176354,-0.7825074255800071
CAG,Conagra Brands,Consumer Staples,-0.9240756385822038,-0.896241476737761,-0.30131859333524635,0.9673774730413629
CAH,Cardinal Health,Health Care,-0.15747975554219906,0.2862632306274779,-0.2627470849910306,-0.9062366608360635
CAT,Caterpillar Inc.,Industrials,0.6275883174505769,0.3247464410666859,0.199503486971423,0.9123867018164487
CB,Chubb Limited,Financials,1.80519042693974,-0.03679434518982776,0.025862785499617815,-0.849281933495974
CBOE,Cboe Global Markets,Financials,1.8190445694043191,0.5649514648817723,-0.27967106798127833,-0.5998595068686856
CBRE,CBRE Group,Real Estate,-0.9517839235113608,0.2841777207751558,-0.23384634088386003,-0.849281933495974
CCI,Crown Castle,Real Estate,-1.085707300668952,-0.8848395461510128,-0.18360510231788205,-0.3347254313199932
CCL,Carnival,Consumer Discretionary,-0.8040064038891911,1.3544723873842153,-0.2764435046789626,0.7100992219533724
CDNS,Cadence Design Systems,Information Technology,-0.8732771162120833,0.669250894424518,-0.10975613001794085,-0.6784177514757056
CDW,CDW,Information Technology,-1.4690052421889541,-0.09053130036752643,-0.2556554269890623,-0.6489584097480731
CE,Celanese,Materials,-0.5223055071094302,-0.05493493911713199,-0.30734559990483085,1.7509959629963867
CF,CF Industries,Materials,-0.5915762194323223,-0.522398854529254,-0.30427060951094315,2.0436254241575367
CFG,Citizens Financial Group,Financials,2.18387032097155,-0.3889022774090318,-0.2930169289013669,-0.7510841277371991
CHD,Church & Dwight,Consumer Staples,-0.01893833089641516,-0.11690049928096317,-0.2687337910209458,0.21714623704432195
CHRW,C.H. Robinson,Industrials,-0.646992789290636,-0.2867432120112266,-0.31369502724096965,-0.20706828383358572
CHTR,Charter Communications,Communication Services,0.5767897950804559,-0.5161136497250234,-0.1940261704880504,0.05217392336958006
CI,Cigna,Health Care,-0.4853611272038878,-0.3242203674278833,-0.022017756017251224,-1.132091614081246
CINF,Cincinnati Financial,Financials,2.8534872067595063,0.01694780202550698,-0.2826333056897713,-0.7903632500407091
CL,Colgate-Palmolive,Consumer Staples,-0.0743549007547288,0.06743784441141217,-0.07472923014407933,0.4979919615144185
CLX,Clorox,Consumer Staples,-0.6423747418024432,-0.34665956624278327,-0.28545481720357896,0.3801545946038884
CMCSA,Comcast,Communication Services,0.7060951247498545,-0.3473121719002177,0.1372028662474401,-0.35829290470209924
CME,CME Group,Financials,1.1494276836163628,-0.05505226745009123,-0.09867592267014115,-0.7176968737792156
CMG,Chipotle Mexican Grill,Consumer Discretionary,-1.1226516805744944,1.3096363445443704,-0.09410507164908795,0.19750667589256704
CMI,Cummins,Industrials,-0.35143775004629657,-0.01779118097921359,-0.21870219421740758,-0.032276189582966346
CMS,CMS Energy,Utilities,-0.6747010742197926,-0.43197354725745635,-0.2838495134700315,0.7513423003720577
CNC,Centene Corporation,Health Care,-0.08820904321930731,-0.567391334541661,-0.22208911078833574,-1.1183439212750175
CNP,CenterPoint Energy,Utilities,-0.7208815491017209,-0.6829556385763046,-0.2921953111071488,1.401411774495148
COF,Capital One,Financials,1.5650519575537147,0.48411273858990633,-0.1735074912138595,-1.1104880968143154
COO,Cooper Companies (The),Health Care,-0.3422016550699112,-0.06516937684029409,-0.28032325243720674,-0.6057513752142121
COP,ConocoPhillips,Energy,0.729185362190818,-0.5365915388077963,0.05251512137563808,2.3146513680517553
COR,Cencora,Health Care,-0.4853611272038878,0.2670156913467232,-0.19957851236664984,-0.8276784162290435
COST,Costco,Consumer Staples,-0.531541602085816,1.174049749018143,0.941602164421221,0.14447986078282848
CPB,Campbell Soup Company,Consumer Staples,-1.0302907308106384,-0.7519783529725056,-0.30203683448799273,0.9988007708841705
CPRT,Copart,Industrials,-0.5130694121330448,0.738178920101414,-0.1946855596935197,-0.845354021265623
CPT,Camden Property Trust,Real Estate,0.6783868398206974,-0.3140254119393199,-0.30869232550634007,-0.35043708024139725
CRM,Salesforce,Information Technology,-0.6054303618969009,1.01001017805213,0.43229203708684166,-0.7412643471613216
CSCO,Cisco,Information Technology,-0.08820904321930731,-0.45075403328870933,0.2973867536562272,-1.0476415011286995
CSGP,CoStar Group,Real Estate,0.4659566553638287,-0.555123511058556,-0.24892620407723995,-0.18153685433630423
CSX,CSX Corporation,Industrials,-0.8594229737475048,-0.3520640435438677,-0.13928158841726526,0.24660557877195452
CTAS,Cintas,Industrials,-0.3791460349754536,0.8621655585409855,-0.0860866525673643,-0.5409408234134206
CTRA,Coterra,Energy,0.3551235156472014,-0.46137792872307987,-0.29684107178438734,2.8429555630339647
CTSH,Cognizant,Information Technology,-0.36529189251087507,0.07547128554183072,-0.2274903437372951,-0.9180203975271164
CVS,CVS Health,Health Care,-0.24522265781786243,-1.2292435658424539,-0.11558567381266566,-1.1301276579660704
CVX,Chevron Corporation,Energy,1.7174475246640772,-0.8130297510586716,0.48463281204551156,2.2046698256019277
D,Dominion Energy,Utilities,-0.4992152696684663,-0.7466004926919884,-0.19373688827954416,1.208944075207949
DAL,Delta Air Lines,Industrials,-0.416090414880996,-0.008805896264876633,-0.25469814277403746,0.8043691154817965
DD,DuPont,Materials,-0.35143775004629657,-0.1500175371941824,-0.24035174940263893,1.7431401385356848
DE,Deere & Company,Industrials,-0.09744513819569271,-0.7085461805275822,-0.0017537629944104573,-0.6116432435597386
DFS,Discover Financial,Financials,1.7590099520578124,0.2171482711150088,-0.24051608348897044,-1.1104880968143154
DG,Dollar General,Consumer Staples,-0.5407776970622015,-1.7263558722526664,-0.29072339722514684,-0.4486348860001722
DGX,Quest Diagnostics,Health Care,0.5998800325214199,-0.533427599512291,-0.2955726213453558,-1.1104880968143154
DHI,DR Horton,Consumer Discretionary,-0.4807430797156951,1.374624314637065,-0.1469928548797493,0.5745862500062631
DHR,Danaher Corporation,Health Care,-0.623902551849672,-0.26589436639218544,0.2889744486142156,-0.8708854507629046
DIS,Walt Disney Company (The),Communication Services,0.004151906544548754,-0.5189571545747146,0.18956459090705813,-1.128163701850895
DLR,Digital Realty,Real Estate,0.13807528370213995,0.29572956326846295,-0.17893581928483654,-0.5861118140624572
DLTR,Dollar Tree,Consumer Staples,-1.2381028677793144,-1.2535828145998933,-0.30072456667036074,-0.48987796441885767
DOV,Dover Corporation,Industrials,-0.5915762194323223,0.1232262849542964,-0.26831352712375434,0.43121745359845154
DPZ,Domino's,Consumer Discretionary,-0.16671585051858487,-0.15465645479855275,-0.30515031929940456,0.9555937363503098
DRI,Darden Restaurants,Consumer Discretionary,-0.9933463509050959,-0.3161990414482148,-0.2900146669997624,0.41943371690739845
DTE,DTE Energy,Utilities,-0.9102214961176253,-0.43917764000740195,-0.2674498849137211,1.8158065147971783
DUK,Duke Energy,Utilities,-0.8732771162120833,-0.3714963579988156,-0.05949227051230848,1.126457918370578
DVA,DaVita,Health Care,0.7938380270255174,1.2590703391275424,-0.3069651957087523,-1.1222718335053683
DVN,Devon Energy,Energy,0.3828318005763584,-0.9549230832855651,-0.27009390956098517,2.3342909292035103
DXCM,Dexcom,Health Care,0.6368244124269623,-1.2500397318008192,-0.261256116355905,-0.08530300469270492
EA,Electronic Arts,Communication Services,-0.9102214961176253,-0.12723554197823056,-0.2271249872692531,-1.1104880968143154
EBAY,eBay,Consumer Discretionary,0.2350542809541887,0.1673773368913343,-0.24956367636880908,-0.5978955507535101
ECL,Ecolab,Materials,-0.6608469317552145,0.731886628529724,-0.12003106349650834,0.5411989960482793
ED,Consolidated Edison,Utilities,-0.28678508521159757,-0.43950095591403854,-0.23489031238217356,0.2112543686987956
EFX,Equifax,Industrials,0.03647823896189848,0.4278514960700975,-0.2305983739940317,-1.1203078773901929
EG,Everest Group,Financials,1.4819271027662446,-0.23342106312753316,-0.2976136742528476,-0.8630296263022026
EIX,Edison International,Utilities,-0.7347356915662989,0.08171186042783438,-0.2444830778032987,1.0204042881511013
EL,Estée Lauder Companies (The),Consumer Staples,0.3597415631353945,-1.6824668378932042,-0.25338223968323526,0.22892997373537505
ELV,Elevance Health,Health Care,-0.6516108367788287,-0.35362580262799964,0.06085868192157374,-1.1222718335053683
EMN,Eastman Chemical Company,Materials,-0.051264663313764884,-0.10925592784371052,-0.3117215410668434,1.385700125573744
EMR,Emerson Electric,Industrials,-0.0697368532665361,-0.3755594271974181,-0.1605565361044505,0.5863699866973158
EOG,EOG Resources,Energy,0.29047085081250235,-0.4847252933465679,-0.12645325222333012,2.8233160018822097
EQIX,Equinix,Real Estate,-0.7254995965899136,-0.08624061983002312,-0.08410916923767082,-0.4604186226912252
EQR,Equity Residential,Real Estate,-0.30063922767617607,-0.06276739378718414,-0.25384879162884694,-0.5507606039892982
EQT,EQT Corporation,Energy,0.5767897950804559,-0.45274985466649054,-0.2874632052899788,2.3323269730883345
ES,Eversource,Utilities,-0.6054303618969009,-0.899215591379002,-0.2729562874669375,-0.2188520205246388
ESS,Essex Property Trust,Real Estate,-0.2636948477706336,0.21366335207021875,-0.28418464288840156,-0.4564907104608742
ETN,Eaton Corporation,Industrials,-0.45303479478653846,1.1331073953431476,0.04720750411295053,-0.06369948742577436
ETR,Entergy,Utilities,-0.6377566943142502,-0.35890643553297186,-0.26281624400694314,1.6213748593948039
EW,Edwards Lifesciences,Health Care,0.42901227545828624,-0.6502222732644457,-0.22137824216696889,-0.5743280773714041
EXC,Exelon,Utilities,-0.12053537563665663,-0.7558292590158031,-0.221536654541349,0.31338008668792144
EXPD,Expeditors International,Industrials,-0.8594229737475048,-0.235194237760837,-0.29540549747472716,-0.32097773851376465
EXPE,Expedia Group,Consumer Discretionary,1.560433910065522,0.49465675551083366,-0.29470030053747376,-0.29741026513165886
EXR,Extra Space Storage,Real Estate,0.2581445183951526,-0.14433309434513245,-0.22562905755544818,-0.3052660895923607
F,Ford Motor Company,Consumer Discretionary,0.8354004544192525,-0.6216533192891102,-0.21228341376479784,0.3231998672637989
FAST,Fastenal,Industrials,0.18425575858406779,0.2355530917438953,-0.22162329576687806,0.6865317485712662
FCX,Freeport-McMoRan,Materials,-0.13900756558942784,-0.2491162988572534,-0.15239306139863712,1.8609775054462148
FDS,FactSet,Financials,-0.646992789290636,-0.4732370680783903,-0.2960099068745676,-0.2875904845557812
FDX,FedEx,Industrials,-0.503833317156659,0.6706585049843343,-0.1174850168633203,-0.024420365122264344
FE,FirstEnergy,Utilities,-0.42070846236918874,-0.4672185108983065,-0.26945020631250716,0.9791612097324156
FFIV,"F5, Inc.",Information Technology,-0.6008123144087077,0.1679993476574936,-0.31130007966790174,-0.3229416946289403
FI,Fiserv,Financials,0.03186019147370537,0.7412504253100809,-0.02715561753733173,-0.32686960685929123
FIS,Fidelity National Information Services,Financials,-0.6885552166843711,-0.18652935868824672,-0.20243731750639146,-0.33276147520481775
FITB,Fifth Third Bank,Financials,0.3689776581117799,-4.6855037136902126e-05,-0.2591799509863813,-0.9023087486057126
FMC,FMC Corporation,Materials,0.3505054681590087,-1.4053355063706545,-0.3260827633919202,1.6822574989652443
FRT,Federal Realty,Real Estate,-0.40685431990461024,-0.3335454853844583,-0.3197452535010836,-0.6902014881667586
FTNT,Fortinet,Information Technology,-0.15286170805400634,0.48517045774707346,-0.16389048625181327,-0.6450304975177221
FTV,Fortive,Industrials,-0.9240756385822038,-0.2670705975623594,-0.2673791204559018,2.023985863005781
GD,General Dynamics,Industrials,0.10574895128479023,-0.18433291723264106,-0.07999023695402935,0.7042073536078457
GE,GE Aerospace,Industrials,1.9391138040973317,3.536210757154933,0.276705661562249,1.660653981698314
GEN,Gen Digital,Information Technology,-0.6054303618969009,-0.14936056608223616,-0.2991667813853834,-0.4780942277278047
GILD,Gilead Sciences,Health Care,0.4243942279700935,-0.6800745269900462,-0.019306691011017275,-0.9396239147940469
